53
134	486	173
59	486	173
59	37	436
342	37	783
300	37	269
59	56	1429
260	419	1008
134	419	924
36	419	1157
59	419	1027
242	423	300
300	423	607
420	423	607
59	471	173
300	323	1032
420	323	1115
36	231	1157
59	231	1027
59	189	769
300	189	1089
59	374	173
420	60	436
36	282	1432
59	282	868
242	282	1020
180	282	43
36	240	425
59	240	305
260	240	767
134	240	595
373	240	783
342	240	783
420	240	900
300	240	1041
36	240	945
59	313	436
134	313	436
420	313	1232
59	313	1172
20	313	945
59	408	391
20	408	678
476	408	641
488	408	1353
300	408	1339
420	408	1339
36	343	1157
59	343	1027
180	0	384
300	0	1076
300	0	624
300	0	1231
472	106	180
