83
2	486	1018
159	486	1081
420	486	929
300	486	1002
300	339	827
260	70	1335
134	70	236
59	70	128
59	70	1417
20	70	464
59	120	317
420	419	389
300	419	703
36	356	660
59	356	808
20	356	650
180	423	90
59	471	513
300	471	629
300	471	1251
300	471	1365
420	471	1092
36	471	1396
59	471	154
20	471	1204
476	471	73
488	471	19
260	471	1229
134	471	522
171	471	1398
350	471	949
175	471	688
300	231	1060
300	231	1043
300	189	618
300	374	201
300	374	1
300	374	1341
300	60	1351
300	60	1149
22	60	1131
375	282	1340
420	240	1124
300	240	760
59	240	1350
20	240	860
476	240	1055
488	240	166
260	240	463
134	240	902
171	240	1305
350	240	536
175	240	920
373	240	64
342	240	64
300	240	832
59	313	665
134	313	656
59	313	1307
134	313	1189
300	408	107
242	408	1257
180	408	4
300	343	412
319	0	450
262	0	786
300	0	194
420	0	789
36	0	308
59	0	728
20	0	531
476	0	702
488	0	1101
260	0	1299
134	0	387
171	0	1087
350	0	195
175	0	933
300	106	124
420	106	976
300	106	69
420	106	1300
300	447	1227
