64
59	255	1397
20	255	1397
36	291	1397
59	291	1397
488	291	1397
59	120	1397
36	356	1397
59	356	1397
20	356	1397
222	356	587
472	356	587
169	356	587
300	356	1184
180	471	32
222	323	80
472	323	80
169	323	80
358	323	80
316	323	80
140	323	80
319	323	80
197	323	80
455	323	80
232	323	80
300	323	370
420	323	370
180	189	470
375	374	1074
222	60	219
472	60	219
169	60	219
358	60	219
316	60	219
420	282	415
300	282	415
180	240	369
36	313	597
59	313	597
20	313	597
180	408	1074
300	415	141
420	415	141
300	415	715
420	415	715
134	0	1397
36	0	676
59	0	676
20	0	676
476	0	676
488	0	676
180	0	369
242	0	369
59	106	1397
222	106	916
472	106	916
169	106	916
358	106	916
316	106	916
140	106	916
319	106	916
197	106	916
455	106	916
232	106	916
260	447	1397
